session_label,window_idx,cluster
20260507_134304_order1,3540,4
20260507_134304_order1,3570,4
20260507_134304_order1,4230,2
20260507_134304_order1,4260,4
20260507_134304_order1,4290,2
20260507_134304_order1,4320,0
20260507_135022_order2,420,2
20260507_135022_order2,450,0
20260507_135022_order2,840,4
20260507_135022_order2,870,4
20260507_135022_order2,900,2
20260507_135022_order2,930,3
20260507_135022_order2,990,4
20260507_135022_order2,1020,3
20260507_135244_order3,240,2
20260507_135244_order3,270,2
20260507_135244_order3,420,2
20260507_135244_order3,450,2
20260507_135244_order3,540,4
20260507_135244_order3,570,5
20260507_135244_order3,600,4
20260507_135244_order3,630,4
20260507_135244_order3,660,4
20260507_135244_order3,690,4
20260507_135244_order3,720,3
20260507_135359_order4,360,3
20260507_135359_order4,390,2
20260507_135359_order4,420,2
20260507_135359_order4,450,4
20260507_135359_order4,630,0
20260507_135359_order4,660,4
20260507_135359_order4,690,4
20260507_135359_order4,720,4
20260507_135359_order4,750,3
20260507_135359_order4,840,0
20260507_135359_order4,870,0
20260507_135359_order4,900,4
20260507_135359_order4,930,2
20260507_135359_order4,960,2
20260507_135359_order4,1050,4
20260507_135359_order4,1080,4
20260507_135359_order4,1110,4
20260507_135359_order4,1140,2
20260507_135359_order4,1170,2
20260507_135359_order4,1200,3
20260507_135359_order4,1230,3
20260507_135359_order4,1290,0
20260507_135359_order4,1320,4
20260507_135359_order4,1350,3
20260507_135359_order4,1470,0
20260507_135359_order4,1500,3
20260507_135359_order4,1530,3
20260507_141202_order1,0,2
20260507_141202_order1,30,2
20260507_141202_order1,150,2
20260507_141202_order1,180,2
20260507_141202_order1,210,5
20260507_141202_order1,240,5
20260507_141202_order1,360,4
20260507_141202_order1,390,5
20260507_141202_order1,420,5
20260507_141202_order1,450,5
20260507_141202_order1,480,5
20260507_141202_order1,510,3
20260507_141202_order1,540,2
20260507_141202_order1,570,2
20260507_141202_order1,600,5
20260507_141202_order1,630,2
20260507_141202_order1,660,3
20260507_141202_order1,690,2
20260507_141202_order1,720,2
20260507_141202_order1,750,4
20260507_141202_order1,780,4
20260507_141202_order1,810,0
20260507_141202_order1,840,2
20260507_141202_order1,870,2
20260507_141202_order1,900,5
20260507_141202_order1,930,5
20260507_141202_order1,960,5
20260507_141202_order1,990,5
20260507_141202_order1,1020,5
20260507_141202_order1,1050,5
20260507_141202_order1,1080,2
20260507_141202_order1,1110,5
20260507_141202_order1,1140,5
20260507_141202_order1,1170,5
20260507_141202_order1,1200,5
20260507_141202_order1,1230,5
20260507_141202_order1,1260,5
20260507_141202_order1,1290,5
20260507_141202_order1,1320,5
20260507_141202_order1,1350,5
20260507_141202_order1,1380,5
20260507_141202_order1,1410,5
